customer_id,first_name,last_name,birth_date,country_code,customer_type,occupation,pep_flag,onboarding_date,email
C00001,Samantha,Parker,2002-05-17,BE,Corporate,Executive,N,2020-10-10,brandterika@example.net
C00002,Lynn,Jones,1944-02-22,BE,Individual,Retailer,N,2018-12-03,stephen89@example.net
C00003,timothy,BARAJAS,1946-07-04,IT,Individual,Unemployed,N,2021-07-22,kenneth57@example.org
C00004,SHARON,  Harris ,1966-11-27,US,Corporate,Politician,Y,2023-10-22,david82@example.net
C00005,  Mark ,Moore,1982-10-06,BE,Individual,Self-employed,N,2019-03-05,smithashley@example.org
C00006,Neil,LARA,1949-08-01,FR,Individual,Employee,N,2019-11-01,odelacruz@example.com
C00007,Tracy,Osborne,1978-08-09,DE,Individual,Retired,N,2018-07-08,wlivingston@example.com
C00008,ELIZABETH,Thomas,1937-08-16,DE,Individual,Student,Y,2023-08-18,tandrews@example.org
C00009,Michael,Elliott,1973-07-01,DE,Individual,Retailer,N,2019-09-26,joshuaowens@example.net
C00010,MARCUS,Harris,2001-10-27,CH,Individual,Politician,Y,2024-06-23,fstephenson@example.net
C00011,Natalie,  Cruz ,1982-06-08,FR,Individual,Student,N,2022-08-25,qsilva@example.org
C00012,crystal,Riddle,1991-05-27,DE,Individual,Unemployed,N,2018-03-29,herbertrodriguez@example.net
C00013,  Miranda ,Jenkins,1951-12-31,BR,Individual,Retired,N,2018-08-06,reedkyle@example.com
C00014,CYNTHIA,Becker,1982-12-30,BR,Individual,Self-employed,N,2023-04-05,phillipsfrank@example.com
C00015,Brian,Daniel,1938-06-11,FR,Corporate,Employee,N,2022-07-04,phall@example.org
C00016,Samantha,Davis,1982-04-05,NG,Individual,Retailer,N,2021-09-07,sanderson@example.org
C00017,David,figueroa,1948-01-18,BE,Individual,Civil servant,N,2022-12-14,tonya69@example.com
C00018,Shawn,King,1940-04-25,BE,Individual,Retailer,N,2024-07-15,cassandra27@example.net
C00019,justin,Thomas,1966-01-19,ES,Individual,Civil servant,Y,2020-07-19,juarezrebekah@example.com
C00020,craig,  Mcclure ,1967-07-12,DE,Individual,Civil servant,N,2021-09-24,andrealarson@example.com
C00021,Eugene,Wright,1940-05-06,IR,Individual,Employee,N,2024-10-03,karen43@example.org
C00022,Michael,marquez,2000-01-09,,Individual,Unemployed,N,2023-06-16,robertstone@example.net
C00023,HEIDI,Castro,2001-08-16,BE,Individual,Executive,N,2019-10-05,zlopez@example.net
C00024,Lynn,wallace,1950-09-28,BE,Individual,Retired,N,2024-04-25,tamara09@example.com
